												
" 16TH DRAW OF Rs.25,000/- DENOMINATION PREMIUM PRIZE BONDS (REGISTERED) "												
First Prize of Rs.30,000,000

385325  498317

Second Prize of Rs.10,000,000

053461  056921   187297   249312  934808

HELD ON 10-12-2024  AT SBP BSC QUETTA												
"(700 Prizes of Rs.300,000/- Each)"												
PART-II												
001007	081619	157084	239342	325553	407690	480366	554733	617046	692176	772348	853077	932310
003045	082505	157293	240858	325997	408034	481250	554850	618373	693334	773550	854193	935020
003915	091152	157465	241323	327032	408404	484684	555702	619202	696041	775882	854844	935914
005728	094651	158300	243816	327230	408753	487509	559479	619456	698648	776855	858852	938669
009116	095584	158355	244418	327993	414729	488886	559656	620634	701798	777762	860828	938919
010240	095592	158369	245403	329527	414829	489564	561544	620972	702454	777895	866722	939882
010418	095708	158388	254200	329815	416389	490078	562671	621459	704747	779730	867950	941353
011566	099606	164187	255573	330826	416725	491119	564047	621797	705005	780457	868813	942427
012813	099870	165108	255996	333356	417849	492733	565547	621959	706775	781288	868864	944182
016724	101967	167368	256097	333570	418476	492813	565698	629141	706902	781334	870409	945358
016736	106712	169920	257504	333602	420356	492835	566880	629758	710203	782901	872585	947005
017381	107275	171464	258183	334419	422880	492912	567580	630210	712695	783331	872597	953159
018812	110822	171635	263333	337773	424842	493506	567746	630657	718303	783335	875760	953628
018960	111282	174766	267867	341752	427936	495352	570009	633578	720800	786289	878343	957561
019594	113040	175250	269754	342303	430245	496746	572099	633972	724678	788553	880057	958283
019669	113731	177075	271674	343172	433789	497883	573330	634954	726810	788809	880105	959321
023492	115321	177651	273188	343946	434592	499223	574434	635077	727600	791644	881142	962705
023586	115673	178065	274383	344947	435099	499228	578936	637171	730116	791861	882395	965557
028102	116167	181399	275677	346172	436796	499708	580142	640384	731525	793031	883844	966205
028182	116862	187368	275850	347884	436886	499734	580752	646962	732470	793338	884041	969083
028482	117071	188437	276366	348002	438155	500133	582065	647254	733066	794588	884157	972149
029947	117776	190554	277169	348392	438972	503030	582098	651195	733593	794646	884507	972202
037197	118091	191359	279022	349235	439760	503754	582573	651221	733778	796567	885175	973370
038109	118795	192436	279390	349713	439780	505808	582911	652691	735071	797937	886108	976983
038909	119525	193177	280003	357394	441480	508522	584448	653759	735902	799173	886453	980183
040663	121012	194603	281734	361894	441752	508849	585692	656149	736332	800507	888116	981081
043188	124178	194791	285406	364034	441937	512051	586205	657237	736741	801166	889752	982695
045117	126691	195234	285558	366332	442109	512433	586768	657290	736947	801557	889767	982740
045440	127079	195274	290254	366685	442119	512972	587029	659061	737880	802886	891179	983999
048557	128270	198558	302262	367316	442878	513082	587190	659260	739532	803187	891401	984511
049769	131291	199766	302763	369627	444663	514814	589694	659991	741470	805214	892527	985203
051261	131500	200287	303267	370214	445312	515751	591403	660592	741659	805655	898010	985301
053495	133075	200622	303270	371955	447580	515911	591618	661811	744342	807014	901757	986527
053833	133152	201221	303672	372674	448127	515945	592663	662110	744352	809442	904829	989299
054624	133179	201295	305097	372699	448178	519945	593977	662871	744367	810454	905271	989558
056119	133596	202437	306759	373224	451005	520860	596844	663613	744387	813043	906644	993078
056135	134592	202699	308018	373682	452715	522845	597383	663618	744647	816133	910435	993614
056405	135337	202903	308774	373871	452911	523313	597788	664892	744906	820219	910449	998493
056445	135912	203029	311203	374245	453513	526247	598750	665824	745039	822578	910594	998743
056594	136461	203604	314960	374533	455501	526957	598925	670079	746457	822887	910830	999132
057105	137328	206805	315201	377679	458369	527045	599113	671616	748028	823770	910839	xxxxxx
059095	137364	207566	316089	377736	459671	528329	599375	672184	749037	824119	911331	xxxxxx
059646	137493	210539	316460	378420	460425	531201	599429	672891	749077	826256	912993	xxxxxx
060405	139840	212485	319415	385822	462022	531960	604387	674155	752439	826702	914563	xxxxxx
061788	140352	220784	320116	386569	462289	532942	610000	674549	752637	827147	914575	xxxxxx
063867	141209	222126	320132	390779	464321	536462	611594	675235	754325	827700	915839	xxxxxx
064294	142625	223266	320799	391212	464385	539468	612095	675855	754688	837026	917864	xxxxxx
066418	143106	224897	320858	391886	464582	541752	612331	676660	754900	838106	918270	xxxxxx
067533	146211	225227	321188	396538	467299	541799	613420	680084	761321	838876	918880	xxxxxx
067857	146618	228293	322549	396998	467894	544830	613696	680915	763338	840720	920248	xxxxxx
068206	149460	229600	323149	399501	468471	546180	614417	685504	764654	841422	926126	xxxxxx
068877	149515	233991	323229	401102	469839	547414	615784	687993	766896	843154	926626	xxxxxx
072049	152691	234695	323272	405210	470687	547900	616128	689003	770243	843188	926957	xxxxxx
075890	153971	236209	325267	405878	471303	549606	616164	689938	771081	846562	929948	xxxxxx
077972	156379	237180	325305	406412	473871	554121	616340	690457	771673	846685	932086	xxxxxx
												
												
												
													
												
