Draw Result of Rs.25,000 Denomination Premium Prize Bonds Registered 20th Draw

First prize Rs. 30,000,000/- each

011964   248597

Second Prize Rs. 10,000,000/- each

134967   142559   235255   368635    886733

Third Prize of 300,000/- each

000277	071106	139451	200002	267210	357163	416740
002265	074165	141010	201166	267219	358994	421800
005925	076394	141991	202257	267529	359360	422153
006556	076507	142555	203142	267609	361055	424476
006612	080000	143759	203433	269230	362129	425100
007238	081523	144781	203837	273597	362143	425163
008354	082684	145979	204325	278324	362305	425454
008490	082694	150091	207687	279736	366254	425900
009640	085529	150317	208616	280029	367373	428444
011175	087492	150567	209235	280256	368416	429121
011268	087877	153317	209284	281566	368581	429439
011959	088298	153714	210617	287254	368875	429891
013904	088398	153794	211248	291729	369636	430884
015745	091211	153963	211722	292376	369886	431088
016197	093456	154068	213090	293687	371160	434134
016763	093524	158717	215777	295361	374504	434448
022943	093650	160921	216111	299622	375362	434724
023128	095844	162697	216735	301831	376179	435104
024135	095903	163213	222245	305516	376845	435427
024478	096509	163753	224782	306537	377335	437027
024639	097439	165095	226670	307014	377868	437112
025995	097630	165334	228277	311275	378761	437673
031278	098679	166089	228694	316569	378893	438896
032300	098915	167780	230899	317266	379995	439429
033541	099328	167965	230907	317362	381787	441816
033543	102587	167982	231408	318900	383940	448645
033545	102945	168432	234184	321278	386051	449339
034958	107781	169500	234443	322237	386257	449429
036418	108550	171466	237240	323242	387307	451520
039568	109937	172592	238693	324949	392045	452464
041945	112847	174957	238694	330480	392299	452830
044216	113754	175628	239535	331297	392711	454045
044714	116068	176135	242770	331678	395108	455011
045959	120037	177865	243763	331751	396553	456724
047453	120471	178244	244140	332785	397002	456740
047605	122499	178726	245820	334775	398467	457911
051199	129640	180274	247687	335823	399207	459409
051927	129919	180574	248871	336496	402443	459759
053151	130005	183391	254801	338796	406282	460019
059894	130819	186952	255272	338970	408644	462669
061246	130853	187174	256129	349673	410953	463515
062496	130858	189078	257963	350015	411596	464182
062875	131137	190200	259141	350945	411616	464306
064131	131948	193243	262775	351797	411797	465691
064847	132870	193328	262929	352059	412895	466238
065218	133102	198539	263390	352994	413064	467528
066151	134753	198571	264234	353466	413266	467533
067562	139133	198708	264260	355174	413783	471241
069889	139184	199024	264459	356054	414362	472437
070041	139415	199366	264892	357010	415981	472743


473580	556055	642364	717751	782790	850641	929995
473747	557474	644296	721919	784949	851715	931058
474134	558646	648951	722983	785694	853267	931596
478935	561137	649013	723159	786712	853297	933812
479426	562005	649684	723179	787008	854616	935263
487207	562779	651086	728362	787708	857919	936707
489427	563750	655085	728428	788880	859254	937108
490132	563756	656069	730580	790455	862039	937211
490743	565678	656078	731053	793025	863862	938738
490906	566389	660581	731119	793239	864988	939797
491557	569208	662419	731525	793768	865004	939996
492397	572568	662829	732585	795481	865283	940333
493134	573908	663653	737058	796645	865590	941558
493860	575126	665803	738009	797327	865597	941782
496147	575909	668688	738363	799761	866068	943250
496996	576450	671086	740892	801589	866092	944316
502447	578132	671830	741740	807717	866310	944494
502530	578459	673335	742264	808210	866322	945462
502546	581129	675213	742397	808690	866340	945468
502689	582268	676547	745051	812505	867052	945564
508013	583750	678220	747581	813402	867053	946490
509647	583850	678925	749955	818456	870146	949461
510033	592413	679553	750277	820978	871897	954805
510753	594915	680020	752292	821021	873539	955219
511222	596625	680234	752413	821390	873771	960176
515848	598367	681499	753968	822754	874232	960342
517312	599845	682958	756554	822962	875447	962268
520382	601310	686309	756727	825129	876802	963495
522562	602853	686352	757460	825920	880666	963674
523973	603393	686377	759870	827979	883050	966201
529219	605683	687003	763274	829256	885306	970070
530944	608914	687407	763286	830109	893174	970331
531639	612181	689287	766919	831329	893930	971434
532154	614247	691203	768491	831578	894235	971475
533414	614534	692249	768882	833106	897826	971667
533811	615369	692982	768886	833705	899237	972983
534181	617169	693547	768887	834217	899935	978540
534878	617863	696329	770580	834245	900111	978658
534964	619586	697811	771263	834543	902249	979896
539174	619737	697927	772984	834868	904111	979943
545396	621298	698411	773027	835287	904913	986097
548765	624135	698844	773053	836272	905587	987288
548907	625490	703510	773741	838152	908475	990337
549478	625665	706401	774804	838986	908866	990512
549890	627764	707981	774931	840433	909119	991340
551967	629492	711752	774993	843105	911940	991510
552464	629684	711942	775124	843699	914719	994619
554542	633345	714909	775791	844216	922196	997233
555092	638611	714941	776267	847417	924282	997335
555671	642234	715762	778794	848465	927829	997385
